channel,loans,observed_default_rate,avg_pd,avg_lgd,avg_ead,total_ead,total_expected_loss,expected_loss_rate
mobile_app,2783,0.03521379805964786,0.032956907099892206,0.9699298135582435,579672.664376572,1613229024.96,48845884.83789772,0.03142673054401591
branch,2144,0.033582089552238806,0.031145552098880595,0.9690069262642934,581088.241483209,1245853189.74,36268179.58686704,0.029609934703863645
partner_pos,1893,0.030110935023771792,0.03417337507395669,0.9668541469090527,420108.52708399366,795265441.77,24925100.126969688,0.03255298436550289
web,1062,0.03295668549905838,0.03219201715065913,0.9683162014014046,609132.9020903955,646899142.02,18988918.60453353,0.030552938206713655
