segment,loans,observed_default_rate,avg_pd,avg_lgd,avg_ead,total_ead,total_expected_loss,expected_loss_rate
new_to_credit,1059,0.061378659112370164,0.05811570195939565,0.9475825095578475,461843.20484419266,489091953.93,27732015.632069256,0.054333942384588337
salaried,2241,0.020080321285140562,0.01906518397233378,0.9794473451631225,598354.8366398929,1340913188.91,25993501.192856353,0.018601674287293868
self_employed,1203,0.02743142144638404,0.031908897097256854,0.9691957442161784,504086.8230091438,606416448.08,19165247.24493883,0.030700137574313457
thin_file,674,0.06973293768545995,0.06173237347774481,0.941222523050702,442289.7958605342,298103322.41,17871888.94907845,0.05710644159637913
good_repeat,1390,0.012949640287769784,0.017759824592086332,0.9837028486188439,678887.2268633094,943653245.34,16760909.45705362,0.0173958199485189
near_prime,826,0.0387409200968523,0.03082974685108959,0.9692132462973307,524299.817251816,433071649.05,13200252.89441143,0.029507285798140846
risky_repeat,300,0.03666666666666667,0.04542797746333333,0.9614089676968395,416333.2023,124899960.69,5234767.383198743,0.04349865417976477
subprime,189,0.0582010582010582,0.04936353692063492,0.9543629457088437,344428.7305820106,65097030.08,3069500.402661284,0.04636773881433091
