application_month,loans,observed_default_rate,avg_pd,avg_lgd,avg_ead,total_ead,total_expected_loss,expected_loss_rate
2025-03,1369,0.02337472607742878,0.031178825447041637,0.981500139201791,577502.6411102995,790601115.68,22801072.401808288,0.030239974860343657
2024-10,1162,0.04991394148020654,0.03514033518072289,0.9589174937734931,582205.301746988,676522560.63,21910992.138045806,0.033041387399760376
2024-09,1090,0.03486238532110092,0.03295675881834862,0.965737883278405,575677.8490183486,627488855.43,19407623.28943024,0.03133092235663378
2025-02,990,0.01616161616161616,0.03198054810808081,0.9734573120235671,514817.7488383839,509669571.35,14714537.81954652,0.030670596120638452
2025-01,962,0.030145530145530147,0.029837658536382535,0.9722348068454637,520348.2068814969,500574975.02,13692970.87265595,0.028738845964781257
2024-11,888,0.04391891891891892,0.032639388832207204,0.9586232125940833,506549.77793918917,449816202.81,13179693.361745812,0.030543941802793653
2024-12,808,0.0297029702970297,0.03319495247524753,0.9705354482648549,514297.3021287129,415552220.12,12426568.282350693,0.03161821766870182
2024-08,613,0.04241435562805873,0.03550349059869494,0.9631638464186566,540002.1165579119,331021297.45,10894624.990684664,0.033262296252366215
