product_type,loans,observed_default_rate,avg_pd,avg_lgd,avg_ead,total_ead,total_expected_loss,expected_loss_rate
cash_loan,4033,0.03223406893131664,0.03385651151556206,0.9749745291613781,683717.9902355566,2757434654.62,86957905.56405298,0.032456835726628386
credit_line,1829,0.03335155822854018,0.029167125240036305,0.9643867911086851,484421.8622361946,886007586.03,23260966.18128383,0.02769392688883892
installment_loan,2020,0.03514851485148515,0.03404488332215304,0.9601665891013575,325645.8207128713,657804557.84,20215527.883687638,0.03212983109262665
