feature,bin,woe,coefficient,points,bad_rate,iv
__BASE_SCORE__,intercept,,-3.513815952065656,637.3718376877146,,
bureau_score,"(-inf, 613.0]",-0.42201429978111904,-0.21327535989727545,-6.492506511741554,0.04358974358974359,0.18269744520022155
bureau_score,"(613.0, 652.0]",-0.37110427162626414,-0.21327535989727545,-5.709277864087256,0.04151151565301338,0.18269744520022155
bureau_score,"(652.0, 688.0]",0.07812671708187156,-0.21327535989727545,1.2019455730721071,0.02686899624112488,0.18269744520022155
bureau_score,"(688.0, 728.0]",0.6148335430844833,-0.21327535989727545,9.458946732808634,0.01585999453103637,0.18269744520022155
bureau_score,"(728.0, inf]",0.5660780351162753,-0.21327535989727545,8.708864441447803,0.01664102922668158,0.18269744520022155
bureau_score,MISSING,-0.05727489858712393,-0.21327535989727545,-0.8811494118306087,0.029723991507430998,0.18269744520022155
active_loans_count,"(-inf, 1.0]",-0.21308979227321637,-0.15171668744370442,-2.3320644098734484,0.03566185176414871,0.08250948009434714
active_loans_count,"(1.0, 2.0]",0.3033624010125032,-0.15171668744370442,3.320011959033374,0.021541526584485122,0.08250948009434714
active_loans_count,"(2.0, 3.0]",0.4410912585811572,-0.15171668744370442,4.827322860798979,0.01876675603217158,0.08250948009434714
active_loans_count,"(3.0, inf]",0.4959118518094002,-0.15171668744370442,5.4272819345392,0.01773274224192527,0.08250948009434714
closed_loans_count,"(-inf, 1.0]",-0.3424651695423183,0.02221554321047976,0.5488047838487662,0.04038228563736707,0.12353797659549243
closed_loans_count,"(1.0, 2.0]",0.12687207256402439,0.02221554321047976,-0.20331410768866665,0.025599349857781388,0.12353797659549243
closed_loans_count,"(2.0, 4.0]",0.3464121183430536,0.02221554321047976,-0.5551298194322228,0.020660734376598138,0.12353797659549243
closed_loans_count,"(4.0, inf]",0.6187109869067203,0.02221554321047976,-0.99149221477906,0.015749685006299873,0.12353797659549243
delinquency_30_12m,"(-inf, 1.0]",0.0939951585589766,-0.5097722142482208,3.456417442866464,0.026460926433802476,0.057523048711311746
delinquency_30_12m,"(1.0, inf]",-0.6149104469199065,-0.5097722142482208,-22.611666676440773,0.052236732425673796,0.057523048711311746
delinquency_60_12m,0,0.14918080110421666,-0.6302433606981848,6.782124495090395,0.02510720481848833,0.0890425159218591
